HitName
"SUGHAYR, Muhammad 'Abdallah Salih"
"AL-TALHI, Abdul Rahim"
"REZAIE, Morteza"
"AHMADIAN, Ali Akbar"
"SOLEIMANI, Qasem"
"HEJAZI, Mohammad"
"AL-SHEIBANI, Abu Mustafa"
"HARDAN, Assaad Halim"
"WAHHAB, Wi'am"
"MAKHLUF, Hafiz"
"BAHMANYAR, Bahmanyar Morteza"
"DASTJERDI, Ahmad Vahid"
"ESMAELI, Reza-Gholi"
"SALIMI, Hosein"
"NOOR MUHAMMAD, Abdul Majeed"
"KHAN, Sherbaz"
"DUZCAN, Ceylan"
"SCHNEIDER, Simon"
"MICHIELSEN, Tom"
"GHANI, Mohammad Nadeem"
"LOAN, Waseem Rauf"
"BEHZAD, Ahmad Abdulla Mohammad Abdulla"
"AZAM, Amir"
"MALEKI, Naser"
"DROUKDEL, Abdelmalek"
"CAZARES SALAZAR, Blanca Margarita"
"MEZA GASPAR, Arturo"
"MEZA CAZARES, Arturo"
"MEZA CAZARES, Lizbeth"
"PEREZ VERDUZCO, Roberto"
"BELTRAN ROMERO, Mireya Denisse"
"BELTRAN SANCHEZ, Hector Manuel"
"AGUIRRE SANCHEZ, Blanca Armida"
"AGUIRRE SANCHEZ, Claudia"
"OLIVAS OJEDA, Marco Antonio"
"RUIZ ZAVALA, Aleyda"
"ZAZUETA URREA, Epifanio"
"OLIVAS OJEDA, Juan Carlos"
"OLIVAS OJEDA, Jesus Joaquin"
"AL LAMI, Isma'il Hafiz"
"AL-JABURI, Mish'an Rakin Thamin"
"FORUZANDEH, Ahmed"
"SAEED, Muhammad"
"LAKHVI, Zaki-ur-Rehman"
"ASHRAF, Haji Muhammad"
"BAHAZIQ, Mahmoud Mohammad Ahmed"
"MAKHLUF, Rami"
"AL MAZIDIH, Ghazy Fezza Hishan"
"AL MAZIDIH, Akram Turki Hishan"
"AL-MARSUMI, Saddah Jaylut"
"MUHAMMAD, Sirajuddin Haqqani Jalaluddin Khwasa"
"TRINIDAD, Angelo Ramirez"
"DE VERA, Pio Abogne"
"DELLOSA, Redendo Cain"
"DELOS REYES, Feliciano Semborio, Jr."
"AYERAS, Ricardo Perez"
"LAVILLA, Ruben Pestano, Jr."
"PAREJA, Dinno Amor Rosalejos"
"HOJATI, Mohsen"
"KETABACHI, Mehrdada Akhlaghi"
"SAFAVI, Yahya Rahim"
"FAKHRIZADEH-MAHABADI, Mohsen"
"NASR AL DIN, Ghazi"
"KAN'AN, Fawzi Mustafa"
"JAFFAR 'ALI, 'Abd al-Rahman Muhammad"
"AL-SUBAIY, Khalifa Muhammad Turki"
"ABD AL-KHALIQ, Adil Muhammad Mahmud"
"MOHAMMADHASNI, Haji Asad Khan Zarkari"
"BELTRAN LEYVA, Marcos Arturo"
"GONZALEZ POLANCO, Hermagoras"
"YAKUT, Cumhur"
"SANTOS, Ahmad"
"JALOLOV, Najmiddin Kamolitdinovich"
"BURANOV, Suhayl Fatilloevich"
"GASMI, Salah"
"DJOUADI, Yahia"
"DEGHDEGH, Ahmed"
"HAMMADOU, Abid"
"VEGA SANCHEZ, Jose Raul"
"GUZMAN ENRIQUEZ, Juan Luis"
"LUCERO DE MARTINEZ, Sandra"
"QUINTERO ARCE, Juan Francisco"
"AGUIRRE CARDONA, Armando"
"GARCIA DURAN, Maria Del Rosario"
"GAXIOLA GARCIA, Carlos Alberto"
"GAXIOLA GARCIA, Maria Elena"
"DUARTE MUNOZ, Roque"
"FITCH TOVAR, Jose Manuel"
"ARCE BORBOA, Ana Cristina"
"FITCH PARENTE, Pablo Antonio"
"FITCH PARENTE, Jose Elmer"
"GAXIOLA GARCIA, Rigoberto"
"KONY, Joseph"
"AL-UBAYDI, Ahmad Hassan Kaka"
"AL-DARI, Harith Sulayman"
"AL-KABI, Arkam 'Abbas"
"ELMABRUK, Maftah Mohamed"
"ELOSTA, Abdelrazag Elsharif"
"SHAHLAI, Abdul Reza"
"RANGEL SILVA, Henry de Jesus"
"CARVAJAL BARRIOS, Hugo Armando"
"TSAI, Hsein Tai"
"SU, Lu-Chi"
"RENDON POBLETE, Rosalinda"
"PULIDO VALDIVIA, Javier"
"LADINO AVILA, Jaime Arturo"
"AMEZCUA CONTRERAS, Patricia"
"AMEZCUA CONTRERAS, Adan"
"ALVAREZ VAZQUEZ, Jose Gerardo"
"CHOU, Hsien Cheng"
"THET, Naing Win"
"KHINE, Oo Oo"
"SAMSAENG, Suthep"
"AKIRAPHOKIN, Thit"
"PRAPATWORA, Atchara"
"PO, Kong"
"BOONCHUA, Chanchira"
"HLA, Aung"
"CHANG, Chin Sung"
"LAO, Ssu"
"SHIH, Kuo Neng"
"CHA, Ta Fa"
"KYA, La Bo"
"LI, Cheng Yu"
"TUAN, Shao Kuei"
"LI, Kai Shou"
"PAO, Yu Liang"
"PAO, Yu Hsiang"
"WEI, Hsueh Yuan"
"WEI, Hsueh Lung"
"HO, Chun Ting"
"AW-MOHAMED, Ahmed Abdi"
"ROBOW, Mukhtar"
"EL HABHAB, Redouane"
"GELOWICZ, Fritz Martin"
"YILMAZ, Adem"
"HAQ, Abdul"
"AMEEN AL-PESHAWARI, Fazeel-A-Tul Shaykh Abu Mohammed"
"KHAN, Abdul Qadeer"
"FAROOQ, Muhammad"
"GRIFFIN, Peter"
"GRIFFIN, Paul Nicholas"
"ALGUADIS, Selim"
"CIRE, Kursad Zafer"
"LERCH, Gotthard"
"GEIGES, Daniel"
"WISSER, Gerhard"
"QASMANI, Arif"
"JAVAID, Nasir"
"MUJAHID, Mohammed Yahya"
"HAMID, Mustafa"
"BIN LADEN, Sa'ad"
"AL-BAHTIYTI, Muhammad Rab'a al-Sayid"
"HUSAIN, Ali Saleh"
"MUDACUMURA, Sylvestre"
"MBARUSHIMANA, Callixte"
"NTAWUNGUKA, Pacifique"
"MUJYAMBERE, Leopold"
"NZEYIMANA, Stanislas"
"MEJIA REGALADO, Jose Manuel"
"PORTILLA BARRAZA, Jorge"
"GONZALES GARBANCHO DE ZEVALLOS, Sara Maria"
"LI, Fangwei"
"ALVI, Mohammad Masood Azhar"
"CHEEMA, Azam"
"AL-MUHANDIS, Abu Mahdi"
"LOPEZ OSPINA, Carlos Antonio"
"JACOME DEL VALLE, Omar Alfredo"
"VASQUEZ VALENCIA, Natalia Andrea"
"SUAZA BARCO, Maria del Carmen"
"SANCHEZ RIVERA, Doris Patricia"
"PEREZ MONTERO, Maria Marcela del Pilar"
"SANCHEZ MARTELL, Julio Cesar Jassan Estuardo"
"MUNERA VELASQUEZ, Martha Marina"
"MEJIA ARTEAGA, Nora"
"HERNANDEZ MEJIA, Jorge Alberto"
"DURAN PORRAS, Gloria Amparo"
"BERMUDEZ SUAZA, Pedro Antonio"
"AL-SHAMMARI, Sa'ad Uwayyid 'Ubayd Mu'jil"
"AL-DARI, Muthanna Harith"
"TAJIDEEN, Kassim"
"AL-QUBAYSI, Abd-al-Munim"
"BHEEL, Imam"
"MAKLED GARCIA, Walid"
"RENDON HERRERA, Daniel"
"TREVINO MORALES, Miguel"
"CARDENAS GUILLEN, Ezequiel"
"COSTILLA SANCHEZ, Jorge Eduardo"
"KADDOURA, Ali Ahmad"
"HENAO JARAMILLO, Mario Alberto"
"ABDUL RAHIM, Ali Mohamad"
"ALVARADO, Imad Abdul Rahim"
"DIB EL MALT, Abdul Naser"
"MADRID FRANCO, Cecilia"
"CANAS PULIDO, Ramon Alberto"
"GONZALEZ HOYOS, Carlos Enrique"
"VARELA BUSTOS, Fernando"
"HARB, Chekri Mahmoud"
"ACOSTA SERNA, Robinson Duvan"
"ACOSTA SERNA, Oscar Alonso"
"RINCON ORDONEZ, Jorge Enrique"
"FLOREZ UPEGUI, Francisco Antonio"
"KARAYILAN, Murat"
"ALTUN, Ali Riza"
"AYDAR, Zubayir"
"KIM, Tong-Myo'ng"
"LEYVA ESCANDON, Edgardo"
"REYES GARZA, Agustin"
"CONTRERAS NOVOA, Hector"
"MORENO PEREZ, Felipe"
"MARTINEZ CANTABRANA, Cesar"
"GUTIERREZ BARBOZA, Maureen Patricia"
"DE ICAZA LOZANO, Alejandro"
"LABORIN ARCHULETA, Clara Elena"
"BELTRAN LEYVA, Alfredo"
"BELTRAN LEYVA, Hector"
"ABDILLAHI, Abshir"
"GARAAD, Mohamed Abdi"
"SA'ID, Mohamed"
"MANA'A, Fares Mohammed"
"AL-TURKI, Hassan Abdullah Hersi"
"KHALAF, Fuad Mohamed"
"BAYNAH, Yasin Ali"
"MAHAMOUD, Bashir Mohamed"
"TASCON ROJAS, Servio Tulio"
"SAAVEDRA ARCE, Rodrigo Eugenio"
"GUTIERREZ AGUIRRE, Duffay"
"CIFUENTES VARGAS, Yanet"
"CIFUENTES VARGAS, Orlando"
"QASEMI, Rostam"
"SULEMAN, Mohamed Bachir"
"MENDEZ VARGAS, Jose de Jesus"
"LOYA PLANCARTE, Dionicio"
"GOMEZ MARTINEZ, Servando"
"RUEDA MEDINA, Jose Arnoldo"
"BARRERA MEDRANO, Nicandro"
"ULLOA ESPITIA, Hubel"
"SANCHEZ SILVA, Elkin Alexis"
"CARDENAS DUARTE, Norma Constanza"
"AGUILAR DUARTE, Jose Lenoir"
"JEREZ PINEDA, Oscar Alberto"
"GUTIERREZ HERNANDEZ, Javier Mauricio"
"MOLINA CUBILLOS, Alba Judith"
"LONDONO ZAPATA, Jesus Antonio"
"JEREZ GALEANO, Jaime"
"GUTIERREZ, Dolis"
"OSPINA MURILLO, Wilmer"
"GUERRERO CASTILLO, Pedro Oliveiro"
"GUTIERREZ GARAVITO, Armando"
"BUSTOS SUAREZ, Danilo"
"BARRERA BARRERA, Daniel"
"AL-DULAYMI, Ahmad Khalaf Shabib"
"TORRES MARTINEZ, Camilo"
"SANCHEZ GONZALEZ, Arnulfo"
"MEJIA VALENCIA, Gonzalo Alberto"
"NEGRETE LUNA, Jose Maria"
"OCHOA GUISAO, Walter"
"MANCO TORRES, Jhon Freddy"
"OCAMPO MORALES, Jorge Eliecer"
"USUGA DAVID, Dairo Antonio"
"RENDON HERRERA, Freddy Enrique"
"VELASQUEZ CABALLERO, Juan Daniel"
"CANO FLORES, Aurelio"
"BARRAGAN BALDERAS, Gilberto"
"MEJIA GONZALEZ, Juan Reyes"
"PENA MENDOZA, Sergio"
"RAMIREZ TREVINO, Mario"
"VELASQUEZ CABALLERO, Ivan"
"TREVINO MORALES, Omar"
"GONZALEZ RODRIGUEZ, Dimas"
"CASTREJON PENA, Victor Nazario"
"SANCHEZ ESTEBAN, Alvaro"
"ACOSTA IBARRA, Ruben"
"FLORES SOTO, Mario"
"VARGAS GARCIA, Nabor"
"LECHUGA LICONA, Alfonso"
"LORMENDEZ PITALUA, Omar"
"IBARRA YEPIS, Prisciliano"
"DAVILA LOPEZ, Jose Ramon"
"HERNANDEZ LECHUGA, Lucio"
"RANGEL BUENDIA, Alfredo"
"GALARZA CORONADO, Jose Antonio"
"MENDOZA CONTRERAS, Cipriano"
"PEREZ ROJAS, Daniel"
"TORRES SOSA, Benjamin"
"MATEO LAUREANO, Ignacio"
"MEDINA ROJAS, Eleazar"
"LOPEZ TREJO, Fernando"
"RUIZ TLAPANCO, Sergio Enrique"
"VALENZUELA ZUNIGA, Ruben Alejandro"
"MURO GONZALEZ, Proceso Arturo"
"REYES ENRIQUEZ, Luis"
"SOTO PARRA, Miguel Angel"
"PEREZ MANCILLA, Alejandro"
"GUERRA RAMIREZ, Rogelio"
"MENDEZ SANTIAGO, Flavio"
"GONZALEZ CASTRO, Gustavo"
"VERA CALVA, Carlos"
"GERESANO ESCRIBANO, Gonzalo"
"ESTRADA GONZALEZ, Eduardo"
"ROMO LOPEZ, Martin"
"MONTES SERMENO, Juan Gabriel"
"VASQUEZ MIRELES, Victor Manuel"
"DIAZ LOPEZ, Mateo"
"GONZALEZ DURAN, Jaime"
"SAUCEDA GAMBOA, Gregorio"
"SELEK, Atilla"
"MAZHAR, Mohammed"
"RAHIM, Mufti Abdul"
"NA TCHUTO, Jose Americo Bubo"
"CAMARA, Ibraima Papa"
"NTAGANDA, Bosco"
"LUBANGA, Thomas"
"KATANGA, Germain"
"NGUDJOLO, Matthieu Cui"
"MUTEBUTSI, Jules"
"LORENZANA CORDON, Eliu Elixander"
"LORENZANA CORDON, Haroldo Geremias"
"LORENZANA CORDON, Waldemar"
"LORENZANA LIMA, Waldemar"
"AL-RIMI, Qasim"
"CONTE, Ousmane"
"ALIZAI, Haji Agha Jan"
"BANDO, Haji"
"BELKALEM, Mohamed"
"NAIL, Taleb"
"ALVAREZ ALVAREZ, Wenceslao"
"MEJIA GUTIERREZ, Ignacio"
"KAKWAVU BUKANDE, Jerome"
"NAQDI, Mohammad Reza"
"VAHIDI, Ahmad"
"JAFARI, Mohammad Ali"
"RAMIREZ DUQUE, Carlos Manuel"
"CASTRO JARAMILLO, Monica Maria"
"RODRIGUEZ FERNANDEZ, Andre"
"AL-AULAQI, Anwar"
"UMAROV, Doku"
"MUSAVI, Hossein"
"MORTEZAVI, Hasan"
"ZAHEDI, Mohammed Reza"
"ZURAIK, Ali Hasan"
"MUSAVI, Razi"
"ALLAHDAD, Hushang"
"ISHAKZAI, Gul Agha"
"ABDULLAH, Amir"
"HAQQANI, Nasiruddin"
"ABU-AL-KHAYR, Muhammad Abdallah Hasan"
"KASHMIRI, Mohammad Ilyas"
"AMAYA ALEMAN, Onecimo Antonio"
"WIDOBLO HERNANDEZ, Jose"
"OLVERA ESTRADA, Arturo"
"OLVERA ESTRADA, Rodolfo"
"FLORES CACHO, Javier"
"MASSA CAMACHO, Eduardo"
"DUARTE TORRES, Rafael"
"TORO DIAZ, Diana Lorena"
"URREA LENIS, Jair Fernando"
"GONZALEZ MEDINA, Jaime Andres"
"COBO LEDESMA, Juan Carlos"
"RODARTE GRIJALVA, Jose Luis"
"JASSO ROCHA, Oscar Arturo"
"GARCIA SANCHEZ, Ricardo"
"FLORES CACHO, Alejandro"
"KIM, Yong Chol"
"RI, Je-Son"
"RI, Hong-Sop"
"YUN, Ho-Jin"
"RADAN, Ahmad-Reza"
"MOHSENI-EJEI, Qolam-Hossein"
"MAHSOULI, Sadeq"
"MORTAZAVI, Saeed"
"MOSLEHI, Heydar"
"NAJJAR, Mostafa Mohammad"
"TAEB, Hossein"
"KAKAR, Saleh Mohammad"
"MAKKI, Hafiz Abdul Rahman"
"LLANOS GAZIA, Jorge Luis"
"GOMEZ ORTIZ, David"
"ALVAREZ ZEPEDA, Alfredo"
"FLOREZ SEPULVEDA, Marco Tulio"
"NSANZUBUKIRE, Felicien"
"ZIMURINDA, Innocent"
"IYAMUREMYE, Gaston"
"ABDULLAH, Mian"
"MUGARAGU, Leodomir"
"RAUF, Hafiz Abdur"
"KHAN, Mohammad Naushad Alam"
"AFRIDI, Amanullah"
"UR-REHMAN, Mati"
"AZHAR, Abdul Rauf"
"MOLANO TORRES, Deysi Yamile"
"SANCHEZ REY, German Gonzalo"
"SERRALDE PLAZA, Carlos Fernando"
"DORIA CASTILLO, Danit Dario"
"TAJIDEEN, Ali"
"TAJIDEEN, Husayn"
"WEHBE, Bilal Mohsen"
"KHARROUBI, Ali Mohamed"
"FATTAH, Parviz"
"RODRIGUEZ OLIVERA, Daniel"
"RODRIGUEZ OLIVERA, Miguel"
"AVENDANO OJEDA, Sergio"
"AVENDANO OJEDA, Hector Manuel"
"AVENDANO OJEDA, Martin Guadencio"
"KHAROUBI, Jamal Mohamad"
"AYACHE, Hassan Mahmoud"
"AYASH, Hassan"
"JOUMAA, Ayman Saied"
"JAFARI, Milad"
"JAFARI, Mohammad Javad"
"FALSAFI, Mahin"
"JAFARI, Mani"
"DURANSOY, Muammer Kuntay"
"DURANSOY, Cagri"
"HAQQANI, Khalil Al-Rahman"
"'ABD AL-SALAM, Said Jan"
"KARTAL, Remzi"
"BAYIK, Cemil"
"KALKAN, Duran"
"OK, Sabri"
"UZUN, Adem"
"BARAKZAI ANSARI, Haji Abdullah"
"KHAN, Haji Mohammad"
"NOORULLAH, Haji"
"NOOR, Haji Mohammad"
"MOHAMMAD AFZAL, Rahmatullah"
"HAJI ABDUL QAYOUM, Eissa Jan"
"JAFARI DOLATABADI, Abbas"
"BA'ASYIR, Abdul Rahim"
"ABDUL RAHMAN, Muhammad Jibril"
"PATEK, Umar"
"SHAYESTEH, Bahram Ali"
"QADHAFI, Muammar"
"QADHAFI, Khamis"
"QADHAFI, Saif al-Islam"
"GADDAFI, Mutassim"
"QADHAFI, Ayesha"
"ISHAQZAI, Haji Lal Jan"
"FARKASH, Safia"
"GADDAFI, Hannibal"
"GADDAFI, Muhammad"
"GADDAFI, Saadi"
"GADDAFI, Saif Al-Arab"
"DORDA, Abu Zaid"
"MATUQ, Matuq Mohammed"
"JABIR, Abu Bakr Yunis"
"AL-SENUSSI, Abdullah"
"DE GARIKOITZ ASPIAZU RUBINA, Miguel"
"DE FRUTOS, Jose Ignacio Reta"
"AL-ASIRI, Ibrahim Hassan Tali"
"SALEH, Bachir"
"AL BAGHDADI, Ali Al-Mahmoudi"
"MAMLUK, Ali"
"NAJIB, Atif"
"AL-ASSAD, Maher"
"AL-ASSAD, Bashar"
"AL-SHAAR, Mohammad Ibrahim"
"QUDSIYAH, Abdul Fatah"
"ZAITOUN, Mohammed Dib"
"CHIZARI, Mohsen"
"TORRES FELIX, Manuel"
"NYAKINIYWA, Naima Mohamed"
"MWAU, John Harun"
"CALLE SERNA, Javier Antonio"
"MOGHADAM, Ismail Ahmadi"
"BELLOSO RODRIGUEZ, Daniel"
"BELLOSO RODRIGUEZ, Miguel Angel"
"GALAVIZ MARTIN, Mayra"
"VASQUEZ HERNANDEZ, Alfredo"
"AL-GHAMDI, Othman"
"BAGHBANI, Gholamreza"
"SHAHRIYARI, Behnam"
"AGHA, Ahmad Zia"
"WAZIR, Ahmed Jan"
"RABI, Fazl"
"AKHUND, Mohammad Aman"
"HASSAN, Jamil"
"HAMMAMI, Omar"
"OMAR, Hassan Mahat"
"AL-'AJMI, 'Ali Hasan 'Ali"
"AL-KUWARI, Salim Hasan Khalifah Rashid"
"KHAWAR, Abdallah Ghanim Mahfuz Muslim"
"KHALIL, Ezedin Abdel Aziz"
"MUHAMMADI, Umid"
"HAMSHO, Muhammad"
"DUGHMUSH, Mumtaz"
"KARIM ALI, Ali Abdul"
"GOITOM, Taeme Abraham"
"NEGASH, Tewolde Habte"
"SHAABAN, Bouthaina"
"FIGUEROA SALAZAR, Amilcar Jesus"
"BERNAL ROSALES, Freddy Alirio"
"AL-LIBI, Abu Yahya"
"SALIM, 'Abd al-Rahman Ould Muhammad al-Husayn Ould Muhammad"
"KHAN, Mustafa Hajji Muhammad"
"HARB, Abbas Hussein"
"SALEH, Kassem Mohamad"
"HARB, Ali Houssein"
"MUKULU, Jamil"
"IQBAL, Zafar"
"BHUTTAVI, Hafiz Abdul Salam"
"LIZASO, Jurdan Martitegui"
"ABU GHAZALA, Muhammad Hisham Muhammad Isma'il"
"NOORZAI, Hajji Faizullah Khan"
"NOORZAI, Hajji Malik"
"REHMAN, Abdur"
"RAHIM, Fazal"
"ABBASIN, Abdul Aziz"
"AL-BADRI, Dr. Ibrahim 'Awwad Ibrahim 'Ali"
"ARBABSIAR, Manssor"
"ABDOLLAHI, Hamed"
"SHAKURI, Gholam"
"KHAN, Mali"
"ARAGHI, Abdollah"
"FIROUZABADI, Hassan"
"SHEKA, Ntabo Ntaberi"
"SULEIMAN HAMAD AL-HABLAIN, Ibrahim"
"EL KHANSA, Mohamad Zouheir"
"EDERY CRIVOSEI, Jaime"
"SALEH, Ali Mohamad"
"EL KHANSA, Ahmad"
"ASLAN, Aus"
"FIGUEROA VASQUEZ, Ezio Benjamin"
"FIGUEROA GOMEZ, Hassein Eduardo"
"ALVAREZ ZEPEDA, Oscar"
"TORRES HOYOS, Carlos Mario"
"VALDEZ BENITES, Joel"
"BENGOECHEA, Jose Antonio Urruticoechea"
"AL QARAWI, Saleh"
"CHOUKA, Yassin"
"CHOUKA, Monir"
"KAR, Mevlut"
"GELERI, Zeyneddin"
"AKBULUT, Cerkez"
"BOZTEPE, Omer"
"GELERI, Omer"
"SHINODA, Kenichi"
"TAKAYAMA, Kiyoshi"
"RAKHIMOV, Gafur-Arslanbek Akhmedovich"
"KHRISTOFOROV, Vasiliy Aleksandrovich"
"CHIBLI, Ibrahim"
"ZAYTSEV, Aleksey Alekseyevich"
"ACHWAN, Mochammad"
"BA'ASYIR, Abdul Rosyid Ridho"
"ACHEKZAI, Abdul Samad"
"MEMON, Ibrahim Abdul Razaaq"
"SHAKEEL, Chhota"
"OVERDICK MEJIA, Horst Walter"
"AGHAJANI, Hosein"
"TABATABAEI, Sayyid Ali Akbar"
"GHANI, Esmail"
"JEGA, Ali Abbas Usman"
"ADANOV, Munir"
"GUZMAN SALAZAR, Jesus Alfredo"
"SALAZAR HERNANDEZ, Maria Alejandrina"
"BARAKZAI, Shah Mohammad"
"WALI, Mohammad"
"HADI, Abdul"
"GUZMAN SALAZAR, Archivaldo Ivan"
"GUZMAN LOPEZ, Ovidio"
"LIMON SANCHEZ, Ovidio"
"SALGUEIRO NEVAREZ, Noel"
"FADAVI, Ali"
"FROSCH, Daniel"
"BARI, Abdul Baqi"
"GUL, Bakht"
"SHUSHANASHVILI, Lasha Pavlovich"
"SHEMAZASHVILI, Koba Shalvovich"
"SHUSHANASHVILI, Kakhaber Pavlovich"
"KELMENDI, Naser"
"SOTO GASTELUM, Jose Antonio"
"SHAH, Sayed Wazir"
"CASANOVA ORDONEZ, Hermes Alirio"
"VILLOTA SEGURA, Aldemar"
"VILLOTA SEGURA, Segundo Alberto"
"MOHAMMED, Aboud Rogo"
"IBARRA CARDONA, Luis Gerardo"
"CARDONA MARTINEZ, Mayela"
"IBARRA CARDONA, Carlos Jesus Ivan"
"CARDONA MARTINEZ, Pedro"
"ESPARRAGOZA GASTELUM, Nadia Patricia"
"ABD EL-RAHMAN, Suhayl Salim"
"OMAR, Omar Awadh"
"AHMED, Abubaker Shariff"
"LOPEZ PEREZ, Griselda Natividad"
"HERNANDEZ AMAYA, Ena Elizabeth"
"GUBEREK GRIMBERG, Henry"
"GUBEREK RAVINOVICZ, Isaac Perez"
"AL-WATFA, Ali Ibrahim"
"KHANAFER, Hicham Nmer"
"ESPARRAGOZA GASTELUM, Brenda Guadalupe"
"ESPARRAGOZA GASTELUM, Juan Ignacio"
"MONZON ARAUJO, Ofelia"
"GUZMAN OCHOA, Ulises"
"PONCE FELIX, Martin Humberto"
"FAWAZ, Abbas Loutfe"
"CHEHADE, Ali Ahmad"
"ESPARRAGOZA GASTELUM, Cristian Ivan"
"BADR AL DIN, Mustafa"
"IBARRA FAVILA, Jose Gerardo"
"LORENZANA CORDON, Ovaldino"
"GASTELUM PAYAN, Maria Guadalupe"
"LORENZANA CORDON, Marta Julia"
"MAYALEH, Adib"
"ARAUJO MONZON, Elvira"
"GONZALEZ PARADA, Juvencio Ignacio"
"HANDAL PEREZ, Jose Miguel"
"MEZA FLORES, Fausto Isidro"
"FLORES APODACA, Agustin"
"FLORES APODACA, Salome"
"MEZA ANGULO, Fausto Isidro"
"BARAKZAI, Haji Abdul Sattar"
"BARAKZAI, Haji Khairullah"
"SHEKAU, Abubakar"
"KAMBAR, Abubakar Adam"
"AL-BARNAWI, Khalid"
"YARZA, Aitzol Iriondo"
"FELIX FELIX, Victor Manuel"
"GONZALEZ CARDENAS, Jorge Guillermo"
"VILLA DIAZ, Oscar Dominguez"
"DIAS PANIAGUA, Rigoberto"
"VAZQUEZ VILLAVICENCIO, Gabriela"
"RABIEE, Hamid Reza"
"MORENO, Daniel"
"FLORES APODACA, Panfilo"
"TANIDEH, Hossein"
"SIHAB, Ahmed Abdulrahman Sihab Ahmed"
"AZZAM, Mansour Fadlallah"
"AL-HALQI, Wael Nader"
"KHAMIS, Imad Mohammad Deeb"
"SWEID, Joseph Jurji"
"DELL'AQUILA, Giuseppe"
"CATERINO, Mario"
"DI MAURO, Paolo"
"IOVINE, Antonio"
"ZAGARIA, Michele"
"BARICH, Mohammad Naim"
"HAMIYAH, Talal"
"FLORES PACHECO, Cenobio"
"SALAZAR RAMIREZ, Jesus Alfredo"
"NIEBLAS NAVA, Guillermo"
"SOSA CANISALES, Felipe de Jesus"
"LOPEZ AISPURO, Armando"
"RASCON RAMIREZ, Jose Javier"
"SABORI CISNEROS, Raul"
"AL-SUBHI, Azzam Abdullah Zureik Al-Maulid"
"AL-FREIJ, Fahd Jassem"
"MIR, Sajjid"
"MUJAHID, Abdullah"
"YAQUB, Ahmed"
"WALID, Hafiz Khalid"
"SHEIKH, Qari Muhammad Yaqoob"
"HAMZA, Amir"
"MUNTAZIR, Abdullah"
"SAEED, Talha"
"ARMANAZI, Amr"
"ANDRADE PARRA, Alfredo"
"FUKUDA, Hareaki"
"LOPEZ NUNEZ, Damaso"
"CORONEL BARRERAS, Ines"
"HARB, Khalil Yusif"
"ACHEKZAI, Maulawi Adam Khan"
"CHAUDHRY, Aamir Ali"
"BASHIR, Qari Ayyub"
"AL-HARBI, Adel Radi Saqr Al-Wahabi"
"ESQUERRA ESQUER, Jorge Enrique"
"ESTRADA GUTIERREZ, Julio Cesar"
"LEON SANTIESTEBAN, Carlos Alberto"
"MAKENGA, Sultani"
"PEREZ HENAO, Diego"
"ZAKIR, Qari"
"JALILI, Rasool"
"TAGHIPOUR, Reza"
"FAZLI, Ali"
"ZARGHAMI, Ezzatollah"
"AL-GHANIMI, Karim Ja'far Muhsin"
"MINA'I, Mohammad"
"AL-MAKSUSI, Sayyid Salah Mahdi Hantush"
"AL-HAMIDAWI, Riyad Yunis Jasim"
"ABBASI-DAVANI, Fereidoun"
"MOZAFFARINIA, Reza"
"QASIM, Mohammed"
"KALIM, Musa"
"AL-MUSAWI, Ali Mussa Daqduq"
"JABER, Mohammad"
"AL-JUBURI, Maysar Ali Musa Abdallah"
"ZAGARIA, Pasquale"
"ZAGARIA, Carmine"
"ZAGARIA, Antonio"
"JABER, Ayman"
"EL KHAIRY, Hamad"
"EL TILEMSI, Ahmed"
"NGARUYE, Baudoin"
"KAINA, Innocent"
"RAHIMYAR, Amir Hossein"
"SAMAHA, MICHEL"
"KALASHOV, Zakhary Knyazevich"
"KASENOV, Adilet Zhakypovich"
"HAMAD, Abdelbasit Alhaj Alhassan Haj"
"MOHAMED, Mohamed Makawi Ibrahim"
"ESBATI, Mostafa"
"RAMIREZ PERALES, Jose Odilon"
"LOPEZ GUERRERO, Ismael"
"RA, Kyong-Su"
"KIM, Kwang-Il"
"YO'N, Cho'ng-Nam"
"KO, Ch'o'l-Chae"
"UCHIBORI, Kazuo"
"LINARES CASTILLO, Jose Evaristo"
"PAEK, Chang-Ho"
"CHANG, Myong-Chin"
"GOLDBERG, Marina Samuilovna"
"OLIVERA JIMENEZ, Juana"
"RODRIGUEZ OLIVERA, Rosalina"
"DURAN NUNEZ, Juan Carlos"
"ELIZONDO CASTANEDA, Andres Martin"
"REYES MAGANA, Felipe"
"AL-ZAHRANI, Ahmed Abdullah Saleh al-Khazmari"
"VERDUGO GARCIA, Monica Janeth"
"GARCIA RIOS, Tomasa"
"GRIMBERG DE GUBEREK, Sara"
"CEBALLOS BUENO, Johanna Patricia"
"RUNIGA, Jean-Marie Rugerero"
"BADEGE, Eric"
"CAMBIS, Dimitris"
"PAK, To-Chun"
"CHU, Kyu-Chang"
"O, Kuk-Ryol"
"MUN, Cho'ng-Ch'o'l"
"SOLIS AVILES, Angello de Jesus"
"PARRA SANCHEZ, Mario"
"VALDEZ RODRIGUEZ, Manuel Arturo"
"VILLEGAS LOERA, Juan Carlos"
"VALENZUELA VALENZUELA, Vanessa"
"PAEK, Se-Bong"
"NOORZAI, Mullah Ahmed Shah"
