HitName
"MANDRO, Khawa Panga"
"MPANO, Douglas"
"NKUNDA, Laurent"
"MURWANASHYAKA, Ignace"
"BARAKAT, Hatim Ahmad"
"BARAKAT, Hamzi Ahmad"
"FAYAD, Sobhi Mahmoud"
"FAYAD, Saleh Mahmoud"
"ABDALLAH, Muhammad Yusif"
"OMAIRI, Farouk"
"TARABAIN CHAMAS, Mohamad"
"BARAKAT, Mohammad Fayez"
"KAZAN, Ali Muhammad"
"AL GHABRA, Mohammed"
"DOCKRAT, Farhad Ahmed"
"DOCKRAT, Junaid Ismail"
"MIKLASHEVICH, Petr Petrovich"
"PODOBED, Yury Nikolaevich"
"SLIZHEVSKY, Oleg Leonidovich"
"RADKOV, Aleksandr Mikhailovich"
"RUSAKEVICH, Vladimir Vasilyevich"
"SIVAKOV, Yury"
"OZIA MAZIO, Dieudonne"
"HARUN, Ahmad Muhammed"
"AUF, Awad Ibn"
"MUSONI, Straton"
"AL-DIBISKI, Nur Al-Din"
"AZIZAH, Sa'id Yusif Ali Abu"
"AL-SAYYID, 'Ali Sulayman Mas'ud 'Abd"
"TORRES FELIX, Javier"
"ARAUJO LAVEAGA, Carmen Amelia"
"BUENO GARCIA, Santos"
"ZAMBADA NIEBLA, Modesta"
"ZAMBADA NIEBLA, Monica del Rosario"
"ZAMBADA NIEBLA, Midiam Patricia"
"ZAMBADA NIEBLA, Maria Teresa"
"NIEBLA CORDOZA, Rosario"
"AL-DULAYMI, Hasan Hashim Khalaf"
"AL-TIKRITI, Ahmed Watban Ibrahim Hasan"
"AL-AHMAD, Ahmad Muhammad Yunis"
"AL-AHMAD, Sa'ad Muhammad Yunis"
"AL-AZAWI, Hatem Hamdan"
"AL-DURI, Thabet"
"AL-RAWI, Fawzi Mutlaq"
"CAZAREZ SALAZAR, Victor Emilio"
"PAREDES CORDOVA, Jorge Mario"
"KHAN, Shahbaz"
"ALIZAI, Haji Azizullah"
"BARTH, Frederik Heinz"
"SANTANILLA BOTACHE, Miguel"
"AL-KURD, Ahmad Harb"
"ALIQ, Qasim"
"AL-SHAMI, Ahmad"
"ZULUAGA LINDO, Francisco Javier"
"VANOY MURILLO, Ramiro"
"AL-KHASHIBAN, Fahd Muhammad 'Abd Al-'Aziz"
